"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"9417",32.892,39.631,32.892,26.239,25.057,25.001,25,25,12.322,0.22631,12.322,14.58,14.632,14.632,14.632,14.632,4.2781,37
"9418",32.9,39.645,32.9,26.24,25.057,25.001,25,25,12.334,0.20851,12.334,14.594,14.647,14.647,14.647,14.647,3.7824,37
"9419",32.895,39.637,32.895,26.239,25.057,25.001,25,25,12.326,0.19318,12.326,14.586,14.638,14.638,14.638,14.638,3.1536,37
"9420",44.802,39.638,33.685,28.35,24.582,22.633,22.166,22.573,0.2575,0.19318,2.0927,5.557,9.4006,12.724,15.063,16.417,6.3783,37
"9421",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9422",31.126,36.358,31.126,25.962,25.044,25.001,25,25,9.5647,0.14234,9.5647,11.318,11.358,11.359,11.359,11.359,3.8489,37
"9423",30.994,36.112,30.994,25.941,25.043,25.001,25,25,9.366,0.4182,9.366,11.08,11.12,11.12,11.12,11.12,4.5185,37
"9424",31.071,36.255,31.071,25.953,25.044,25.001,25,25,9.4855,0.39719,9.4855,11.222,11.262,11.262,11.262,11.262,5.0929,37
"9425",31.052,36.22,31.052,25.95,25.043,25.001,25,25,9.4534,0.32442,9.4534,11.185,11.225,11.225,11.225,11.225,5.075,37
"9426",31.044,36.205,31.044,25.949,25.043,25.001,25,25,9.4396,0.27787,9.4396,11.169,11.209,11.209,11.209,11.209,4.8289,37
"9427",31.052,36.22,31.052,25.95,25.043,25.001,25,25,9.4509,0.24786,9.4509,11.182,11.223,11.223,11.223,11.223,4.4674,37
"9428",31.016,36.153,31.016,25.944,25.043,25.001,25,25,9.3958,0.29302,9.3958,11.117,11.157,11.157,11.157,11.157,5.5517,37
"9429",31.017,36.154,31.017,25.944,25.043,25.001,25,25,9.396,0.26917,9.396,11.117,11.157,11.157,11.157,11.157,5.2041,37
"9430",31.021,36.161,31.021,25.945,25.043,25.001,25,25,9.4017,0.25126,9.4017,11.124,11.164,11.164,11.164,11.164,4.81,37
"9431",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9432",3.229,13.257,23.157,24.916,24.999,25,25,25,0.1299,18.333,21.693,21.771,21.771,21.771,21.771,21.771,4.4995,37
"9433",3.2295,6.7571,13.218,19.839,24.418,26.412,26.603,26.079,0.1299,3.808,3.808,0.1299,5.6379,10.685,13.848,15.263,8.2481,37
"9434",3.2286,8.5691,14.137,19.84,25.581,31.265,36.796,42.083,0.0005078,0.045908,0.030718,0.0005078,0.0005078,0.075659,0.26873,0.61612,9.9715,37
"9435",3.2286,8.423,14.038,19.84,25.581,31.024,35.952,40.186,0.00050779,0.019732,0.010044,0.00050778,0.00050778,0.00050779,0.028918,0.1302,9.1238,37
