"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"8924",25.381,25.763,26.144,26.525,26.906,27.288,27.669,28.05,15.642,15.733,15.884,16.092,16.357,16.674,17.042,17.456,12.574,35
"8925",25.518,26.037,26.555,27.074,27.592,28.11,28.629,29.147,15.338,15.43,15.58,15.789,16.054,16.371,16.739,17.153,16.725,35
"8926",25.658,26.316,26.974,27.632,28.29,28.948,29.606,30.264,15.103,15.194,15.345,15.553,15.817,16.133,16.499,16.912,20.877,35
"8927",25.801,26.602,27.404,28.205,29.006,29.807,30.609,31.41,14.883,14.973,15.123,15.331,15.593,15.908,16.272,16.683,25.026,35
"8928",25.957,26.913,27.87,28.827,29.783,30.74,31.697,32.653,14.54,14.631,14.781,14.988,15.251,15.566,15.93,16.341,29.118,35
"8929",26.118,27.236,28.354,29.472,30.59,31.708,32.826,33.944,14.217,14.307,14.457,14.665,14.927,15.242,15.605,16.015,33.2,35
"8930",26.282,27.565,28.847,30.129,31.412,32.694,33.976,35.259,13.942,14.033,14.182,14.389,14.65,14.963,15.325,15.732,37.294,35
"8931",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8932",24.829,24.658,24.487,24.316,24.145,23.974,23.803,23.632,11.564,11.689,11.895,12.177,12.531,12.95,13.428,13.96,3.878,35
"8933",25.443,25.886,26.328,26.771,27.214,27.657,28.1,28.542,16.581,16.653,16.773,16.94,17.151,17.406,17.703,18.039,8.5609,35
"8934",25.897,26.793,27.69,28.586,29.483,30.38,31.276,32.173,15.127,15.19,15.294,15.438,15.622,15.843,16.101,16.393,12.849,35
"8935",26.417,27.834,29.252,30.669,32.086,33.503,34.92,36.337,12.388,12.441,12.529,12.651,12.806,12.993,13.21,13.457,16.873,35
"8936",26.872,28.744,30.616,32.488,34.36,36.232,38.104,39.976,9.8789,9.9202,9.9886,10.084,10.204,10.35,10.52,10.712,20.578,35
"8937",27.14,29.28,31.419,33.559,35.699,37.839,39.979,42.119,8.2969,8.3284,8.3807,8.4535,8.546,8.6578,8.7881,8.9361,23.95,35
"8938",27.306,29.612,31.918,34.224,36.53,38.836,41.142,43.449,7.3619,7.3867,7.428,7.4854,7.5586,7.6471,7.7504,7.8678,27.17,35
"8939",27.402,29.804,32.207,34.609,37.011,39.413,41.815,44.218,6.6923,6.7125,6.7459,6.7924,6.8518,6.9237,7.0076,7.1033,30.185,35
"8940",27.465,29.929,32.394,34.858,37.323,39.787,42.252,44.716,6.1924,6.2091,6.2368,6.2754,6.3248,6.3845,6.4545,6.5342,33.08,35
"8941",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8942",24.46,23.92,23.38,22.841,22.301,21.761,21.221,20.681,12.503,12.588,12.728,12.921,13.165,13.458,13.796,14.176,4.1149,35
"8943",24.804,24.609,24.413,24.218,24.022,23.826,23.631,23.435,18.199,18.267,18.38,18.537,18.738,18.979,19.261,19.582,8.6654,35
"8944",24.918,24.836,24.755,24.673,24.591,24.509,24.427,24.345,19.33,19.395,19.503,19.653,19.844,20.075,20.344,20.651,13.149,35
"8945",25.011,25.023,25.034,25.045,25.057,25.068,25.079,25.091,19.779,19.842,19.947,20.094,20.28,20.506,20.77,21.07,17.617,35
"8946",25.097,25.195,25.292,25.389,25.487,25.584,25.681,25.778,19.896,19.958,20.062,20.207,20.391,20.614,20.875,21.171,22.055,35
"8947",25.182,25.363,25.545,25.726,25.908,26.089,26.271,26.453,19.922,19.984,20.087,20.23,20.413,20.634,20.892,21.186,26.483,35
"8948",25.265,25.53,25.795,26.06,26.326,26.591,26.856,27.121,19.881,19.943,20.045,20.187,20.369,20.588,20.845,21.137,30.898,35
"8949",25.349,25.697,26.046,26.395,26.743,27.092,27.441,27.789,19.816,19.877,19.978,20.12,20.3,20.518,20.773,21.064,35.306,35
"8950",25.432,25.865,26.297,26.73,27.162,27.595,28.027,28.46,19.779,19.839,19.94,20.081,20.26,20.476,20.73,21.018,39.727,35
"8951",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8952",25.134,25.267,25.401,25.535,25.669,25.802,25.936,26.07,14.855,14.954,15.117,15.343,15.628,15.97,16.365,16.809,4.1241,35
"8953",25.275,25.55,25.825,26.1,26.375,26.65,26.925,27.2,14.444,14.544,14.708,14.936,15.223,15.567,15.964,16.41,8.212,35
"8954",25.426,25.853,26.279,26.705,27.132,27.558,27.984,28.411,13.967,14.068,14.235,14.464,14.754,15.101,15.501,15.951,12.251,35
"8955",25.587,26.175,26.762,27.35,27.937,28.525,29.112,29.699,13.51,13.611,13.779,14.011,14.303,14.652,15.054,15.505,16.254,35
"8956",25.751,26.501,27.252,28.002,28.753,29.503,30.254,31.005,13.215,13.317,13.484,13.715,14.006,14.354,14.754,15.203,20.273,35
"8957",25.924,26.848,27.772,28.696,29.619,30.543,31.467,32.391,12.881,12.982,13.149,13.38,13.67,14.017,14.416,14.863,24.264,35
"8958",26.102,27.205,28.307,29.41,30.512,31.615,32.717,33.82,12.591,12.692,12.858,13.087,13.376,13.721,14.117,14.562,28.259,35
"8959",26.308,27.616,28.924,30.232,31.54,32.848,34.156,35.464,12.124,12.225,12.392,12.621,12.91,13.255,13.652,14.095,32.155,35
"8960",26.526,28.052,29.578,31.104,32.63,34.156,35.682,37.208,11.687,11.788,11.955,12.184,12.472,12.816,13.211,13.652,36.048,35
