,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
17212,25.197,25.394,25.591,25.789,25.986,26.183,26.38,26.577,5.0689,5.3457,5.7778,6.3333,6.9829,7.7028,8.4751,9.2868,3.0428,12,2,58
17213,24.783,24.567,24.35,24.134,23.917,23.701,23.484,23.268,8.9295,9.0861,9.3412,9.6872,10.115,10.614,11.175,11.789,7.2291,12,3,58
17214,24.612,24.224,23.837,23.449,23.061,22.673,22.285,21.897,14.482,14.578,14.738,14.959,15.238,15.573,15.959,16.394,12.345,12,4,58
17215,24.918,24.837,24.755,24.673,24.592,24.51,24.429,24.347,15.522,15.608,15.75,15.946,16.195,16.494,16.841,17.232,16.644,12,5,58
17216,25.107,25.215,25.322,25.429,25.537,25.644,25.751,25.859,14.722,14.803,14.937,15.123,15.358,15.641,15.969,16.339,20.55,12,6,58
17217,24.77,24.54,24.31,24.079,23.849,23.619,23.389,23.159,15.133,15.204,15.321,15.484,15.69,15.939,16.228,16.555,24.857,12,7,58
17218,24.763,24.527,24.29,24.054,23.817,23.58,23.344,23.107,14.122,14.195,14.314,14.481,14.692,14.945,15.24,15.572,28.515,12,8,58
17219,24.761,24.521,24.282,24.042,23.803,23.563,23.324,23.084,13.299,13.373,13.495,13.664,13.877,14.135,14.432,14.769,32.106,12,9,58
17220,24.765,24.531,24.296,24.062,23.827,23.593,23.358,23.124,12.656,12.73,12.853,13.023,13.239,13.498,13.798,14.136,35.67,12,10,58
17221,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,13,1,58
17222,25.054,25.107,25.161,25.214,25.268,25.321,25.375,25.429,18.667,18.747,18.88,19.064,19.298,19.58,19.908,20.28,4.3457,13,2,58
17223,25.172,25.344,25.517,25.689,25.861,26.033,26.205,26.378,16.199,16.29,16.44,16.648,16.911,17.227,17.593,18.007,8.419,13,3,58
17224,25.061,25.122,25.183,25.244,25.305,25.366,25.427,25.487,14.13,14.209,14.339,14.519,14.747,15.022,15.34,15.698,12.218,13,4,58
17225,24.838,24.677,24.515,24.353,24.192,24.03,23.868,23.707,13.123,13.191,13.303,13.458,13.654,13.891,14.166,14.476,16.037,13,5,58
17226,24.915,24.829,24.744,24.659,24.574,24.488,24.403,24.318,14.526,14.592,14.701,14.852,15.044,15.276,15.546,15.851,20.514,13,6,58
17227,24.974,24.948,24.922,24.897,24.871,24.845,24.819,24.793,15.381,15.446,15.553,15.701,15.89,16.118,16.383,16.684,24.942,13,7,58
17228,25.024,25.049,25.073,25.098,25.122,25.147,25.171,25.196,15.842,15.906,16.012,16.158,16.345,16.57,16.833,17.13,29.296,13,8,58
17229,25.072,25.144,25.216,25.288,25.36,25.432,25.504,25.576,16.2,16.263,16.368,16.513,16.698,16.921,17.181,17.476,33.656,13,9,58
17230,25.118,25.236,25.354,25.473,25.591,25.709,25.827,25.945,16.541,16.604,16.707,16.851,17.034,17.255,17.513,17.806,38.05,13,10,58
17231,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,14,1,58
17232,25.048,25.096,25.144,25.192,25.24,25.287,25.335,25.383,20.874,20.946,21.065,21.23,21.44,21.695,21.992,22.329,4.4575,14,2,58
17233,25.097,25.195,25.292,25.389,25.486,25.584,25.681,25.778,20.56,20.633,20.753,20.92,21.133,21.391,21.691,22.032,8.887,14,3,58
17234,25.147,25.294,25.441,25.588,25.735,25.882,26.029,26.177,20.397,20.47,20.591,20.759,20.973,21.232,21.533,21.876,13.31,14,4,58
17235,25.197,25.394,25.591,25.788,25.985,26.182,26.379,26.576,20.302,20.375,20.496,20.664,20.879,21.138,21.441,21.784,17.733,14,5,58
17236,25.249,25.497,25.746,25.994,26.243,26.492,26.74,26.989,20.107,20.181,20.303,20.472,20.688,20.949,21.254,21.599,22.125,14,6,58
17237,25.297,25.595,25.892,26.189,26.487,26.784,27.082,27.379,20.172,20.245,20.367,20.535,20.75,21.01,21.313,21.657,26.576,14,7,58
17238,25.347,25.694,26.042,26.389,26.736,27.083,27.43,27.778,20.158,20.231,20.352,20.52,20.735,20.994,21.296,21.639,31.01,14,8,58
17239,25.398,25.797,26.195,26.594,26.992,27.391,27.789,28.188,20.073,20.146,20.268,20.436,20.651,20.91,21.213,21.557,35.416,14,9,58
17240,25.448,25.895,26.343,26.791,27.238,27.686,28.134,28.581,20.099,20.172,20.293,20.461,20.675,20.933,21.235,21.578,39.866,14,10,58
17241,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,15,1,58
17242,25.267,25.534,25.801,26.068,26.335,26.602,26.868,27.135,3.7369,4.0928,4.6255,5.2817,6.0212,6.817,7.6515,8.5133,2.7398,15,2,58
17243,25.595,26.189,26.784,27.378,27.973,28.567,29.162,29.756,3.3522,3.7086,4.2364,4.8803,5.6005,6.3712,7.176,8.0047,5.3636,15,3,58
17244,24.576,24.151,23.727,23.303,22.878,22.454,22.03,21.606,8.9353,9.0814,9.3199,9.6439,10.045,10.515,11.044,11.625,10.904,15,4,58
17245,24.27,23.541,22.811,22.082,21.352,20.623,19.893,19.163,11.956,12.061,12.234,12.472,12.772,13.129,13.539,13.996,15.862,15,5,58
17246,23.92,22.839,21.759,20.679,19.598,18.518,17.437,16.357,10.293,10.39,10.55,10.77,11.046,11.375,11.751,12.171,19.355,15,6,58
17247,24.716,24.432,24.149,23.865,23.581,23.297,23.013,22.729,13.371,13.446,13.57,13.742,13.959,14.22,14.523,14.865,24.137,15,7,58
17248,25.22,25.44,25.661,25.881,26.101,26.321,26.542,26.762,15.136,15.197,15.3,15.442,15.623,15.842,16.096,16.385,29.014,15,8,58
17249,25.557,26.114,26.671,27.228,27.785,28.342,28.899,29.456,15.658,15.713,15.803,15.928,16.088,16.281,16.506,16.762,33.572,15,9,58
