,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
5087,19.184,21.863,24.508,24.979,25.075,26.648,35.5,44.465,0.5248,12.106,14.321,14.373,14.373,14.321,12.104,0.40657,10.684,29,7,17
5088,19.185,21.863,24.508,24.979,25.075,26.656,35.549,44.558,0.56816,12.16,14.385,14.436,14.436,14.385,12.158,0.43402,11.609,29,8,17
5089,19.185,21.863,24.508,24.979,25.075,26.65,35.513,44.491,0.57622,12.122,14.34,14.391,14.391,14.34,12.12,0.43567,12.272,29,9,17
5090,19.184,21.863,24.508,24.979,25.075,26.649,35.507,44.478,0.53614,12.113,14.33,14.381,14.381,14.33,12.112,0.40218,12.353,29,10,17
5091,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,30,1,17
5092,14.645,19.414,24.123,24.96,24.999,25,25,25,0.14001,8.7208,10.319,10.356,10.356,10.356,10.356,10.356,3.7565,30,2,17
5093,14.644,19.414,24.123,24.959,24.939,23.668,16.515,9.2704,0.14001,11.214,13.269,13.317,13.317,13.269,11.214,0.14001,8.016,30,3,17
5094,14.645,25.116,25.864,25.021,25,24.899,20.551,9.2708,0.14002,0.14002,10.543,11.027,11.027,11.027,10.577,0.14002,11.416,30,4,17
5095,14.644,25.116,25,25,25,25,40.865,9.2706,0.14003,0.14003,12.313,12.313,12.313,12.313,0.14003,0.14003,15.718,30,5,17
5096,14.644,25.116,25,25,25,25,40.906,9.2699,0.080263,0.080263,12.326,12.326,12.326,12.326,0.06951,0.080263,14.619,30,6,17
5097,14.644,25.116,25,25,25,25,40.946,9.2702,0.11352,0.11352,12.339,12.339,12.339,12.339,0.09269,0.11352,14.069,30,7,17
5098,14.646,25.116,25,25,25,25,41.036,9.2735,0.27461,0.27461,12.369,12.369,12.369,12.369,0.21711,0.27461,15.77,30,8,17
5099,14.647,25.116,25,25,25,25,40.975,9.2744,0.30739,0.30739,12.349,12.349,12.349,12.349,0.23812,0.30739,16.106,30,9,17
5100,14.648,25.116,25,25,25,25,40.907,9.2763,0.36056,0.36056,12.328,12.328,12.328,12.328,0.27541,0.36056,16.881,30,10,17
5101,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1,1,18
5102,25.373,27.377,29.406,27.377,25.373,25.017,25,25,4.3929,3.7131,0.14119,3.7131,4.3929,4.4087,4.4087,4.4087,2.9025,1,2,18
5103,25,23.503,29.405,25,25,25,25,25,3.2927,0.14136,0.14136,3.2927,3.2927,3.2927,3.2927,3.2927,5.2213,1,3,18
5104,25,23.501,29.408,25,11.988,25,25,25,7.9804,0.14124,0.14124,7.9804,0.14124,7.9804,7.9804,7.9804,10.488,1,4,18
5105,25,23.504,29.647,25,12.009,25,25,25,8.0258,0.48564,0.42071,8.0258,0.48564,8.0258,8.0258,8.0258,11.201,1,5,18
5106,25,23.503,29.649,25,11.999,25,40.819,25,10.536,0.48569,0.42069,10.536,0.48569,10.536,0.48569,10.536,15.792,1,6,18
5107,25,23.503,29.649,25,12.002,25,41.121,25,10.65,0.54104,0.46865,10.65,0.54104,10.65,0.46865,10.65,16.747,1,7,18
5108,25,23.502,29.65,25,11.995,25,41.126,48.037,14.036,0.54118,0.46874,14.036,0.54118,14.036,0.46874,0.54118,21.913,1,8,18
5109,25,23.503,29.649,25,12.001,25,41.122,47.592,13.893,0.6804,0.58936,13.893,0.6804,13.893,0.58936,0.58936,23.353,1,9,18
5110,25,23.503,29.649,25,11.998,25,41.181,47.595,13.905,0.59675,0.51688,13.905,0.59675,13.905,0.48733,0.51688,23.723,1,10,18
5111,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,2,1,18
5112,26.435,34.142,41.948,34.142,26.435,25.066,25.001,25,16.888,14.272,0.13928,14.272,16.888,16.949,16.949,16.949,4.2491,2,2,18
5113,25,7.5645,41.948,25,25,25,25,25,17.194,0.13929,0.13929,17.194,17.194,17.194,17.194,17.194,8.527,2,3,18
5114,25,7.5647,41.948,31.111,25,25,25,25,14.476,0.13929,0.13929,0.13929,14.476,14.476,14.476,14.476,12.274,2,4,18
5115,25,7.5648,41.948,31.111,25,12.948,25,25,13.91,0.13929,0.13929,0.13929,13.91,0.13929,13.91,13.91,16.206,2,5,18
5116,25,7.565,41.948,31.111,25,12.948,24.554,25,12.443,0.13929,0.13929,0.13929,12.443,0.13929,0.13929,12.443,19.7,2,6,18
5117,25,7.5652,41.948,31.111,25,12.948,24.554,18.967,11.623,0.13929,0.13929,0.13929,11.623,0.13929,0.13929,0.13929,23.231,2,7,18
5118,47.432,7.5648,41.948,31.111,25,12.948,24.554,18.967,0.13929,0.13929,0.13929,0.13929,13.699,0.13929,0.13929,0.13929,28.254,2,8,18
5119,47.734,7.582,41.931,31.105,25,12.959,24.555,18.973,0.54246,0.62627,0.62627,0.62627,13.775,0.62627,0.62627,0.62627,29.244,2,9,18
5120,47.694,7.5736,41.939,31.108,25,12.954,24.555,18.97,0.37413,0.45817,0.45817,0.45817,13.763,0.45817,0.45817,0.45817,29.42,2,10,18
5121,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,3,1,18
5122,31.262,36.61,31.262,25.983,25.045,25.001,25,25,9.7771,0.1423,9.7771,11.569,11.611,11.611,11.611,11.611,3.8709,3,2,18
5123,25,36.609,24.693,25,25,25,25,25,8.213,0.14232,0.14232,8.213,8.213,8.213,8.213,8.213,7.0493,3,3,18
5124,25,36.609,24.693,25,30.92,25,25,25,7.527,0.14232,0.14232,7.527,0.14232,7.527,7.527,7.527,10.312,3,4,18
5125,25,36.61,24.693,25,30.921,41.39,25,25,10.472,0.14233,0.14233,10.472,0.14233,0.14233,10.472,10.472,15.071,3,5,18
5126,25,36.61,24.693,25,30.921,41.391,13.114,25,10.77,0.14233,0.14233,10.77,0.14233,0.14233,0.14233,10.77,18.979,3,6,18
5127,25,36.53,24.695,25,30.88,41.982,13.196,25,10.985,1.2948,1.2948,10.985,1.2948,1.1227,1.2948,10.985,20.755,3,7,18
5128,47.565,36.558,24.694,25,30.894,42.003,13.167,25,1.298,1.298,1.298,13.641,1.298,1.125,1.298,13.641,25.872,3,8,18
5129,47.738,36.584,24.694,25,30.908,42.022,13.14,25,0.80441,0.9285,0.9285,13.671,0.9285,0.80441,0.9285,13.671,26.895,3,9,18
5130,47.767,36.593,24.693,25,30.912,42.029,13.131,25,0.61992,0.759,0.759,13.673,0.759,0.65748,0.759,13.673,27.492,3,10,18
5131,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,4,1,18
5132,26.817,28.369,26.817,25.285,25.013,25,25,25,2.8407,0.14158,2.8407,3.3602,3.3723,3.3723,3.3723,3.3723,2.6345,4,2,18
5133,23.961,28.373,37.603,32.023,25.897,25.028,25,25,7.7411,0.14173,0.14173,7.7411,9.2031,9.2262,9.2262,9.2262,7.1386,4,3,18
5134,22.987,28.372,37.604,33.18,26.265,24.961,24.987,25,5.7518,0.036191,0.036191,0.036191,5.7518,7.816,7.9256,7.9264,9.9457,4,4,18
5135,24.542,28.372,37.604,33.18,14.469,14.007,22.25,24.772,7.6545,0.0020198,0.0020198,0.0020198,0.0020198,7.6545,10.482,10.634,14.291,4,5,18
5136,24.926,28.372,37.604,33.18,14.469,19.009,25.197,25.128,7.3607,0.0020198,0.0020198,0.0020198,0.0020198,0.0020198,7.3607,8.8102,17.311,4,6,18
5137,24.8,28.372,37.604,33.18,14.469,19.009,36.127,42.882,7.9303,0.0020198,0.0020198,0.0020198,0.0020198,0.0020198,5.3733,0.0020198,21.971,4,7,18
5138,24.798,28.372,37.604,33.177,14.473,19.008,36.059,42.791,7.927,0.18019,0.18018,0.18018,0.18018,0.18019,5.3831,0.15606,21.666,4,8,18
5139,24.795,28.373,37.604,33.172,14.479,19.007,35.98,42.687,7.9237,0.2822,0.28216,0.28214,0.28215,0.2822,5.3946,0.23045,22.114,4,9,18
5140,24.781,28.374,37.604,33.153,14.501,19.001,35.844,42.522,7.9243,0.51347,0.51319,0.51309,0.51318,0.51346,5.4197,0.40614,23.845,4,10,18
5141,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,5,1,18
5142,44.607,35.576,26.66,25.076,25.001,25,25,25,0.14233,16.511,19.538,19.608,19.608,19.608,19.608,19.608,4.3949,5,2,18
5143,44.606,38.89,32.318,26.82,23.485,22.291,22.5,23.263,0.1423,0.1423,2.5797,6.6563,10.789,13.921,15.758,16.597,7.4,5,3,18
5144,44.608,38.889,19.997,13.463,19.504,23.888,24.893,24.995,0.015212,0.015212,0.015212,8.3733,13.832,14.709,14.744,14.744,11.481,5,4,18
5145,44.608,38.889,19.997,18.406,26.05,27.028,25.547,25.053,0.015212,0.015212,0.015212,5.8779,0.015212,9.2679,11.824,11.966,15.01,5,5,18
5146,44.608,38.889,19.997,14.093,26.05,33.816,31.018,26.895,0.015211,0.015211,0.015211,0.015211,0.015211,5.8,11.82,13.674,17.534,5,6,18
5147,44.202,38.86,20.007,14.116,26.048,25,25,25,0.66741,0.77039,0.77039,0.77039,0.77039,11.901,11.901,11.901,20.636,5,7,18
5148,44.291,38.873,20.003,14.106,26.049,25,25,25,0.47082,0.57649,0.57649,0.57649,0.57649,11.924,11.924,11.924,21.08,5,8,18
5149,44.276,38.878,20.001,14.102,26.049,25,25,25,0.37476,0.47396,0.47396,0.47396,0.47396,11.917,11.917,11.917,21.155,5,9,18
5150,44.314,38.88,20,14.1,26.049,25,25,25,0.33046,0.42656,0.42656,0.42656,0.42656,11.928,11.928,11.928,21.176,5,10,18
5151,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,6,1,18
5152,25,25.001,25.042,25.914,30.822,35.793,30.822,25.914,10.794,10.794,10.794,10.755,9.0893,0.14244,9.0893,10.755,3.7979,6,2,18
5153,25.053,25.414,27.005,30.951,35.608,35.791,30.329,25.095,8.5114,8.5057,8.3799,7.345,4.0219,0.14241,0.14241,4.0219,6.6235,6,3,18
5154,40.643,40.095,39.103,37.717,36.014,34.095,32.076,30.073,3.3736,3.2589,3.235,3.1779,3.0578,2.9594,3.0622,3.5203,10.188,6,4,18
5155,25,25,25,25,25,25,25,25,13.425,13.425,13.425,13.425,13.425,13.425,13.425,13.425,16.064,6,5,18
5156,25,25,25,25,25,25,25,25,14.156,14.156,14.156,14.156,14.156,14.156,14.156,14.156,20.345,6,6,18
5157,25,25,25,25,25,25,25,25,12.923,12.923,12.923,12.923,12.923,12.923,12.923,12.923,23.868,6,7,18
5158,25,25,25,25,25,25,25,25,13.427,13.427,13.427,13.427,13.427,13.427,13.427,13.427,28.114,6,8,18
5159,25,25,25,25,25,25,25,25,14.689,14.689,14.689,14.689,14.689,14.689,14.689,14.689,32.848,6,9,18
5160,25,25,25,25,25,25,25,25,15.599,15.599,15.599,15.599,15.599,15.599,15.599,15.599,37.496,6,10,18
5161,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,7,1,18
5162,47.96,37.385,26.944,25.089,25.001,25,25,25,0.13106,19.334,22.878,22.96,22.961,22.961,22.961,22.961,4.5527,7,2,18
5163,47.75,37.272,26.926,25.088,25.001,25,25,25,0.36077,19.16,22.672,22.753,22.753,22.753,22.753,22.753,5.0869,7,3,18
5164,47.744,37.268,26.925,25.088,25.001,25,25,25,0.241,19.153,22.664,22.745,22.745,22.745,22.745,22.745,4.7969,7,4,18
5165,47.641,37.213,26.917,25.088,25.001,25,25,25,0.29851,19.067,22.562,22.643,22.643,22.643,22.643,22.643,5.5272,7,5,18
5166,47.71,37.25,26.923,25.088,25.001,25,25,25,0.30476,19.126,22.631,22.712,22.712,22.712,22.712,22.712,5.9047,7,6,18
5167,47.731,37.262,26.924,25.088,25.001,25,25,25,0.27439,19.143,22.651,22.733,22.733,22.733,22.733,22.733,5.682,7,7,18
5168,47.815,37.306,26.931,25.088,25.001,25,25,25,0.34219,19.214,22.735,22.817,22.817,22.817,22.817,22.817,7.198,7,8,18
5169,47.828,37.314,26.933,25.088,25.001,25,25,25,0.317,19.225,22.749,22.831,22.831,22.831,22.831,22.831,7.0649,7,9,18
5170,47.847,37.324,26.934,25.088,25.001,25,25,25,0.30066,19.241,22.767,22.849,22.849,22.849,22.849,22.849,6.9622,7,10,18
5171,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,8,1,18
5172,8.4938,16.096,23.603,24.936,24.999,25,25,25,0.13845,13.9,16.448,16.507,16.507,16.507,16.507,16.507,4.2227,8,2,18
5173,8.4943,30.045,25,25,25,25,25,25,0.13846,0.13846,12.205,12.205,12.205,12.205,12.205,12.205,7.8416,8,3,18
5174,8.4948,30.045,25,25,24.671,25,25,25,0.13846,0.13846,9.9672,9.9672,0.13846,9.9672,9.9672,9.9672,11.155,8,4,18
5175,8.4943,30.045,25,25,24.671,41.505,25,25,0.13846,0.13846,11.943,11.943,0.13846,0.13846,11.943,11.943,15.596,8,5,18
5176,8.4943,30.045,25,25,24.671,41.505,14.281,25,0.13846,0.13846,11.708,11.708,0.13846,0.13846,0.13846,11.708,19.396,8,6,18
5177,8.6248,30.005,25,25,24.674,40.715,14.366,25,1.4515,1.4515,11.518,11.518,1.4515,1.2587,1.4515,11.518,21.106,8,7,18
5178,8.5597,30.025,25,25,24.673,40.723,14.323,25,1.0319,1.0319,11.505,11.505,1.0319,0.84322,1.0319,11.505,22.066,8,8,18
5179,8.5378,30.031,25,25,24.672,40.714,14.309,25,0.84494,0.84494,11.497,11.497,0.84494,0.66839,0.84494,11.497,22.711,8,9,18
5180,8.5357,30.032,25,25,24.672,40.598,14.308,25,0.82189,0.82189,11.465,11.465,0.82189,0.63702,0.82189,11.465,23.602,8,10,18
5181,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,9,1,18
5182,36.065,45.513,36.065,26.737,25.079,25.001,25,25,17.273,0.14225,17.273,20.439,20.513,20.513,20.513,20.513,4.44,9,2,18
5183,36.114,45.604,36.114,26.744,25.08,25.001,25,25,17.35,0.15751,17.35,20.53,20.604,20.604,20.604,20.604,4.159,9,3,18
5184,36.066,45.514,36.066,26.737,25.079,25.001,25,25,17.275,0.20677,17.275,20.442,20.515,20.515,20.515,20.515,4.3873,9,4,18
5185,36.062,45.509,36.062,26.736,25.079,25.001,25,25,17.27,0.16403,17.27,20.436,20.509,20.509,20.509,20.509,3.6319,9,5,18
5186,36.12,45.615,36.12,26.745,25.08,25.001,25,25,17.362,0.29745,17.362,20.544,20.617,20.618,20.618,20.618,5.7108,9,6,18
5187,36.141,45.654,36.141,26.749,25.08,25.001,25,25,17.394,0.28178,17.394,20.582,20.656,20.656,20.656,20.656,5.719,9,7,18
5188,36.108,45.594,36.108,26.743,25.08,25.001,25,25,17.344,0.30701,17.344,20.522,20.596,20.596,20.596,20.596,6.4448,9,8,18
5189,36.111,45.599,36.111,26.744,25.08,25.001,25,25,17.348,0.28244,17.348,20.527,20.601,20.601,20.601,20.601,6.1542,9,9,18
5190,36.105,45.588,36.105,26.743,25.08,25.001,25,25,17.338,0.26499,17.338,20.516,20.589,20.59,20.59,20.59,5.8479,9,10,18
5191,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,10,1,18
5192,24.949,23.893,17.947,11.924,17.947,23.893,24.949,24.999,13.077,13.03,11.011,0.14211,11.011,13.03,13.077,13.077,3.9898,10,2,18
