mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
9.5033,13.103,17.192,21.646,26.316,31.04,35.652,39.991,0.27354,0.13723,0.14035,0.14814,0.14286,0.1394,0.13182,0.13677,8.4944,1
9.39,13.095,17.22,21.661,26.3,31.008,35.655,40.111,0.34425,0.19599,0.19492,0.20629,0.20356,0.19752,0.18513,0.18567,9.9102,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.37,20.986,17.558,20.986,24.37,24.971,25,25,7.4168,6.2682,0.14215,6.2682,7.4168,7.4434,7.4435,7.4435,3.4263,1
6.3845,10.945,17.556,23.231,26.277,26.935,26.417,25.736,0.14215,1.8547,0.14215,4.4206,9.0353,12.159,13.607,14.065,7.8187,1
6.3826,11.921,17.556,23.242,28.931,34.575,40.127,45.541,0.000091774,0.015097,0.000091777,0.022678,0.030162,0.000091774,0.089476,0.2587,10.865,1
6.3831,11.871,17.556,23.318,29.032,34.575,39.832,44.697,0.000091777,0.0035644,0.000091776,0.0017971,0.000091774,0.000091776,0.01399,0.06006,9.1075,1
6.3832,11.581,17.557,23.465,29.032,34.575,40.617,47.335,0.000091606,0.087773,0.000091605,0.029906,0.000091605,0.000091605,0.000091605,0.26129,14.488,1
6.3832,11.569,17.557,23.471,29.032,34.575,40.661,47.5,0.00013599,0.087773,0.00013599,0.029906,0.00013599,0.00013599,0.00011777,0.26129,211360,1
6.3832,11.638,17.557,23.431,29.032,34.575,40.392,46.505,0.00013599,0.087773,0.00013599,0.029906,0.00013599,0.00013599,0.00011103,0.26129,23613000,1
6.3832,11.625,17.557,23.439,29.032,34.575,40.44,46.681,0.00013599,0.087773,0.00013599,0.029906,0.00013599,0.00013599,0.00010751,0.26129,25072000,1
6.3832,11.621,17.556,23.441,29.032,34.575,40.456,46.742,0.00013599,0.087773,0.00013599,0.029906,0.00013599,0.00013599,0.00010533,0.26129,25361000,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.48,28.059,30.672,28.059,25.48,25.022,25,25,5.653,4.7778,0.14185,4.7778,5.653,5.6733,5.6733,5.6733,3.1547,1
41.791,37.34,30.674,25.559,23.53,23.611,24.269,24.733,0.14187,2.1909,0.14187,4.873,9.2667,11.607,12.367,12.515,7.6653,1
41.597,37.221,30.677,25.614,23.557,23.6,24.246,24.717,0.32886,2.1502,0.37969,4.774,9.1014,11.448,12.231,12.388,8.0907,1
41.817,37.36,30.682,25.561,23.532,23.614,24.272,24.734,0.4963,2.2532,0.60761,4.9272,9.3073,11.642,12.399,12.546,9.3692,1
41.761,37.324,30.68,25.573,23.537,23.61,24.265,24.73,0.41452,2.22,0.52417,4.8834,9.2522,11.59,12.355,12.504,9.636,1
41.771,37.33,30.678,25.569,23.535,23.61,24.266,24.731,0.35232,2.2123,0.45473,4.8814,9.2573,11.596,12.359,12.508,9.6065,1
41.762,37.324,30.677,25.57,23.536,23.61,24.265,24.73,0.31167,2.2033,0.40799,4.872,9.2479,11.588,12.352,12.501,9.4384,1
41.764,37.325,30.676,25.569,23.535,23.61,24.266,24.73,0.28163,2.1996,0.3725,4.87,9.2481,11.588,12.352,12.501,9.1453,1
41.785,37.337,30.676,25.563,23.532,23.611,24.268,24.732,0.26577,2.204,0.3543,4.8805,9.2657,11.605,12.366,12.515,8.9491,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25,24.987,24.706,23.124,21.522,23.124,24.706,24.987,3.4811,3.4811,3.4686,2.9322,0.14161,2.9322,3.4686,3.4811,2.6663,1
25.41,25.916,26.29,25.361,21.519,14.441,6.7476,2.8408,15.731,15.031,12.565,7.223,0.14187,5.41,5.41,0.14187,8.3163,1
45.987,40.099,34.019,27.806,21.519,15.221,8.9741,2.8399,0.66422,0.3457,0.14542,0.039058,0.00037521,0.00037521,0.0098303,0.00037521,9.5738,1
44.588,39.364,33.708,27.722,21.519,15.221,8.9529,2.8399,0.077567,0.020342,0.0003752,0.0023563,0.0003752,0.0003752,0.0023563,0.0003752,9.1267,1
