mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
24.947,24.895,24.842,24.789,24.736,24.684,24.631,24.578,18.964,19.043,19.173,19.354,19.585,19.863,20.187,20.554,4.3615,1
24.883,24.767,24.65,24.534,24.417,24.3,24.184,24.067,13.659,13.759,13.924,14.153,14.441,14.786,15.183,15.629,8.0704,1
24.992,24.985,24.977,24.969,24.962,24.954,24.946,24.939,11.765,11.863,12.023,12.244,12.523,12.855,13.236,13.664,11.66,1
25.293,25.586,25.879,26.171,26.464,26.757,27.05,27.343,11.259,11.341,11.476,11.663,11.899,12.182,12.507,12.872,15.443,1
25.551,26.102,26.653,27.204,27.755,28.306,28.857,29.409,10.537,10.607,10.722,10.882,11.083,11.325,11.604,11.918,19.11,1
25.392,25.783,26.175,26.567,26.959,27.35,27.742,28.134,11.42,11.489,11.602,11.759,11.958,12.197,12.473,12.784,23.276,1
25.293,25.585,25.878,26.171,26.464,26.756,27.049,27.342,11.159,11.225,11.334,11.486,11.678,11.908,12.175,12.476,26.947,1
25.496,25.992,26.489,26.985,27.481,27.977,28.474,28.97,10.77,10.828,10.923,11.055,11.223,11.424,11.658,11.922,30.622,1
25.655,26.311,26.966,27.621,28.277,28.932,29.587,30.243,10.301,10.351,10.434,10.55,10.697,10.874,11.08,11.312,34.163,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.453,25.906,26.359,26.813,27.266,27.719,28.172,28.625,13.8,13.886,14.029,14.225,14.475,14.774,15.119,15.508,4.1564,1
27.23,29.459,31.689,33.919,36.149,38.378,40.608,42.838,0.24065,0.24426,0.25018,0.25823,0.26822,0.27995,0.29321,0.3078,5.6873,1
25.961,26.922,27.882,28.843,29.804,30.765,31.725,32.686,10.022,10.094,10.213,10.377,10.584,10.832,11.118,11.439,11.731,1
26.383,27.766,29.149,30.531,31.914,33.297,34.68,36.063,8.24,8.2949,8.3855,8.5107,8.6691,8.8588,9.0779,9.3243,15.308,1
26.418,27.836,29.254,30.672,32.09,33.508,34.926,36.344,7.2893,7.3357,7.4124,7.5185,7.6526,7.8135,7.9995,8.2088,18.378,1
26.514,28.028,29.542,31.055,32.569,34.083,35.597,37.111,6.4139,6.4509,6.5122,6.597,6.7045,6.8336,6.983,7.1516,21.298,1
26.653,28.306,29.959,31.613,33.266,34.919,36.572,38.225,5.8901,5.9193,5.9677,6.0348,6.12,6.2225,6.3415,6.4761,24.339,1
26.751,28.501,30.252,32.002,33.753,35.503,37.254,39.004,5.4762,5.4999,5.5392,5.5937,5.663,5.7466,5.8438,5.9541,27.241,1
26.831,28.662,30.492,32.323,34.154,35.985,37.816,39.646,5.1713,5.1911,5.2239,5.2694,5.3274,5.3974,5.479,5.5717,30.099,1
