mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
26.966,28.931,30.897,32.862,34.828,36.794,38.759,40.725,0.29537,0.29613,0.29741,0.29918,0.30145,0.30419,0.30741,0.31107,7.6173,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.162,25.324,25.486,25.648,25.811,25.973,26.135,26.297,6.1665,6.399,6.7688,7.2548,7.8355,8.4916,9.2068,9.9685,3.2384,32
24.669,24.337,24.006,23.675,23.344,23.012,22.681,22.35,5.9526,6.0403,6.1837,6.379,6.6217,6.9067,7.2291,7.584,6.6499,32
24.667,24.334,24.001,23.668,23.335,23.002,22.669,22.336,12.104,12.188,12.326,12.518,12.759,13.049,13.382,13.758,11.819,32
24.411,23.823,23.234,22.646,22.057,21.469,20.88,20.292,10.684,10.752,10.866,11.023,11.221,11.459,11.734,12.044,15.417,32
24.583,24.165,23.748,23.33,22.913,22.495,22.078,21.66,11.182,11.249,11.358,11.51,11.702,11.932,12.199,12.5,19.343,32
24.62,24.241,23.861,23.482,23.102,22.723,22.343,21.964,10.314,10.371,10.465,10.596,10.762,10.962,11.193,11.454,22.738,32
24.446,23.892,23.339,22.785,22.231,21.677,21.124,20.57,10.677,10.731,10.822,10.946,11.105,11.295,11.517,11.767,26.818,32
24.766,24.532,24.298,24.064,23.83,23.596,23.362,23.127,12.087,12.139,12.224,12.343,12.494,12.676,12.888,13.128,31.451,32
24.992,24.984,24.975,24.967,24.959,24.951,24.943,24.934,12.707,12.756,12.837,12.949,13.091,13.264,13.464,13.693,35.787,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
24.579,24.159,23.738,23.318,22.897,22.476,22.056,21.635,10.823,10.937,11.124,11.38,11.701,12.081,12.516,13,3.8945,32
24.783,24.566,24.349,24.132,23.915,23.698,23.481,23.264,13.462,13.559,13.719,13.94,14.22,14.554,14.939,15.372,8.0607,32
24.854,24.708,24.562,24.416,24.27,24.124,23.978,23.832,13.674,13.77,13.927,14.145,14.42,14.749,15.129,15.556,12.111,32
24.751,24.502,24.254,24.005,23.756,23.507,23.258,23.01,12.229,12.33,12.497,12.726,13.016,13.361,13.758,14.202,15.719,32
24.747,24.495,24.242,23.989,23.737,23.484,23.232,22.979,11.191,11.267,11.392,11.565,11.784,12.046,12.348,12.688,19.258,32
25.025,25.05,25.075,25.1,25.125,25.15,25.174,25.199,11.098,11.16,11.262,11.404,11.585,11.801,12.052,12.335,23.061,32
25.376,25.753,26.129,26.505,26.882,27.258,27.634,28.011,12.426,12.482,12.574,12.702,12.864,13.059,13.287,13.545,27.749,32
25.183,25.365,25.548,25.731,25.913,26.096,26.278,26.461,12.646,12.698,12.784,12.903,13.054,13.238,13.451,13.692,31.788,32
25.439,25.878,26.317,26.756,27.195,27.634,28.073,28.512,13.185,13.233,13.312,13.421,13.561,13.729,13.926,14.15,36.213,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.445,25.889,26.334,26.779,27.224,27.668,28.113,28.558,10.11,10.228,10.422,10.688,11.021,11.414,11.862,12.359,3.8387,32
25.301,25.603,25.904,26.206,26.507,26.809,27.11,27.412,8.9729,9.0826,9.2627,9.5091,9.8168,10.18,10.594,11.052,7.3011,32
25.376,25.752,26.128,26.504,26.88,27.256,27.632,28.008,7.2217,7.3265,7.4979,7.7314,8.0217,8.3628,8.7488,9.1741,10.337,32
25.741,26.482,27.223,27.964,28.705,29.446,30.187,30.928,7.2668,7.3512,7.4897,7.6795,7.9168,8.1976,8.5175,8.8722,14.018,32
25.761,26.522,27.283,28.045,28.806,29.567,30.328,31.089,9.4188,9.5025,9.6402,9.8299,10.068,10.353,10.679,11.043,18.667,32
25.824,26.649,27.473,28.297,29.121,29.946,30.77,31.594,10.649,10.729,10.863,11.047,11.279,11.557,11.876,12.235,23.094,32
25.908,26.816,27.724,28.633,29.541,30.449,31.357,32.265,11.352,11.431,11.561,11.74,11.966,12.237,12.549,12.9,27.392,32
26.003,27.006,28.008,29.011,30.014,31.017,32.019,33.022,11.758,11.835,11.961,12.136,12.357,12.623,12.929,13.273,31.608,32
26.104,27.208,28.313,29.417,30.521,31.625,32.73,33.834,11.977,12.052,12.176,12.347,12.564,12.824,13.125,13.464,35.763,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.183,25.366,25.549,25.732,25.914,26.097,26.28,26.463,16.156,16.246,16.394,16.599,16.859,17.171,17.534,17.942,4.2164,32
25.393,25.787,26.18,26.574,26.967,27.361,27.754,28.148,14.981,15.074,15.226,15.437,15.705,16.026,16.397,16.815,8.3262,32
25.624,26.249,26.873,27.497,28.122,28.746,29.37,29.995,14.147,14.24,14.394,14.607,14.876,15.198,15.57,15.988,12.398,32
25.889,26.778,27.668,28.557,29.446,30.335,31.225,32.114,13.225,13.318,13.473,13.686,13.956,14.279,14.651,15.07,16.398,32
26.188,27.377,28.565,29.754,30.942,32.131,33.319,34.508,12.352,12.446,12.6,12.812,13.08,13.401,13.77,14.184,20.373,32
26.554,28.108,29.662,31.216,32.77,34.323,35.877,37.431,11.315,11.408,11.561,11.771,12.037,12.354,12.718,13.125,24.289,32
27.131,29.261,31.392,33.522,35.653,37.783,39.914,42.044,9.5872,9.6793,9.831,10.039,10.301,10.613,10.969,11.366,28.061,32
30.232,35.464,40.695,45.927,51.159,56.391,61.623,66.855,0.46973,0.47926,0.49473,0.51561,0.54127,0.57107,0.6044,0.64071,21.342,32
30.228,35.457,40.685,45.914,51.142,56.37,61.599,66.827,0.44258,0.45058,0.46361,0.48127,0.50306,0.52847,0.55701,0.58822,21.568,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
24.419,23.838,23.258,22.677,22.096,21.515,20.934,20.354,7.0551,7.1947,7.4213,7.7276,8.1043,8.5422,9.0324,9.5668,3.5717,32
25,25,24.999,24.999,24.999,24.999,24.999,24.998,10.513,10.617,10.787,11.021,11.314,11.663,12.062,12.506,7.5593,32
25.01,25.02,25.03,25.04,25.05,25.06,25.069,25.079,8.5582,8.6657,8.8421,9.0832,9.3841,9.7392,10.143,10.59,10.735,32
24.914,24.829,24.743,24.658,24.572,24.487,24.401,24.316,10.237,10.338,10.505,10.733,11.02,11.361,11.751,12.186,15,32
25.128,25.256,25.384,25.512,25.64,25.768,25.896,26.024,9.6151,9.6972,9.8325,10.019,10.253,10.533,10.854,11.214,18.488,32
25.57,26.141,26.711,27.281,27.852,28.422,28.992,29.562,10.209,10.274,10.381,10.529,10.716,10.941,11.2,11.492,22.732,32
25.874,26.748,27.622,28.496,29.369,30.243,31.117,31.991,10.012,10.065,10.153,10.276,10.431,10.617,10.834,11.078,26.622,32
26.11,27.22,28.33,29.44,30.55,31.66,32.77,33.88,9.6119,9.6565,9.7305,9.8331,9.9635,10.121,10.303,10.51,30.327,32
26.289,27.578,28.867,30.156,31.445,32.734,34.023,35.312,9.1365,9.1743,9.2369,9.3238,9.4344,9.5677,9.723,9.8992,33.848,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.445,25.89,26.335,26.78,27.225,27.671,28.116,28.561,0.00012634,0.00012922,0.00013389,0.00014016,0.00014783,0.0001567,0.00016658,0.00017729,3.0974,32
26.602,28.205,29.807,31.409,33.012,34.614,36.217,37.819,0.00012591,0.00012756,0.00013026,0.00013394,0.00013854,0.00014395,0.0001501,0.00015689,6289100000,32
27.063,29.126,31.189,33.252,35.315,37.378,39.441,41.504,0.00012575,0.0001269,0.0001288,0.00013141,0.00013469,0.00013859,0.00014307,0.00014807,8810800000,32
27.302,29.603,31.905,34.206,36.508,38.809,41.111,43.412,0.00012566,0.00012654,0.00012801,0.00013003,0.00013258,0.00013563,0.00013916,0.00014311,10074000000,32
27.459,29.918,32.377,34.836,37.296,39.755,42.214,44.673,0.0001256,0.00012632,0.00012751,0.00012916,0.00013125,0.00013376,0.00013666,0.00013994,10958000000,32
27.56,30.119,32.679,35.239,37.798,40.358,42.917,45.477,0.00012556,0.00012617,0.00012717,0.00012856,0.00013033,0.00013246,0.00013493,0.00013773,11485000000,32
27.643,30.286,32.929,35.571,38.214,40.857,43.5,46.143,0.00012554,0.00012606,0.00012693,0.00012813,0.00012966,0.00013151,0.00013366,0.00013611,11983000000,32
27.7,30.4,33.1,35.801,38.501,41.201,43.901,46.601,0.00012551,0.00012597,0.00012674,0.0001278,0.00012915,0.00013079,0.00013269,0.00013486,12293000000,32
27.742,30.484,33.225,35.967,38.709,41.451,44.192,46.934,0.0001255,0.00012591,0.00012659,0.00012754,0.00012875,0.00013021,0.00013192,0.00013387,12503000000,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.605,26.21,26.816,27.421,28.026,28.631,29.236,29.842,7.9325,8.0515,8.2459,8.5106,8.8394,9.2253,9.6615,10.142,3.7129,32
26.146,27.291,28.437,29.583,30.728,31.874,33.02,34.165,3.157,3.2222,3.3281,3.471,3.6464,3.85,4.0776,4.3253,6.3363,32
25.167,25.335,25.502,25.67,25.837,26.005,26.172,26.34,10.262,10.345,10.484,10.674,10.915,11.201,11.531,11.9,11.312,32
25.057,25.114,25.172,25.229,25.286,25.343,25.4,25.458,9.6049,9.6852,9.8175,9.9998,10.229,10.503,10.818,11.17,14.804,32
25.048,25.096,25.144,25.192,25.24,25.288,25.336,25.384,8.5649,8.6429,8.7714,8.9482,9.1705,9.4351,9.7386,10.077,17.945,32
24.954,24.908,24.862,24.816,24.77,24.724,24.678,24.632,10.572,10.65,10.778,10.955,11.179,11.446,11.754,12.1,22.723,32
25.063,25.126,25.189,25.252,25.315,25.378,25.441,25.504,9.9571,10.026,10.14,10.298,10.496,10.735,11.009,11.318,26.125,32
25.29,25.58,25.87,26.159,26.449,26.739,27.029,27.319,9.7825,9.8414,9.9388,10.074,10.244,10.449,10.686,10.953,29.792,32
25.607,26.214,26.821,27.428,28.035,28.642,29.249,29.856,9.8233,9.8702,9.9479,10.056,10.193,10.358,10.549,10.766,33.746,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.464,25.927,26.391,26.855,27.318,27.782,28.246,28.71,13.404,13.492,13.637,13.837,14.09,14.393,14.743,15.137,4.1334,32
27.172,29.343,31.515,33.686,35.858,38.029,40.201,42.372,0.1542,0.15652,0.16031,0.16547,0.17188,0.1794,0.1879,0.19725,5.1139,32
27.164,29.327,31.491,33.654,35.818,37.981,40.145,42.309,0.14756,0.14904,0.15149,0.15485,0.15907,0.16408,0.1698,0.17618,4.7588,32
27.168,29.337,31.505,33.673,35.842,38.01,40.179,42.347,0.13719,0.13823,0.13995,0.14232,0.14531,0.14888,0.15299,0.1576,4.199,32
27.165,29.331,31.496,33.661,35.827,37.992,40.157,42.322,0.12847,0.12925,0.13054,0.13232,0.13459,0.1373,0.14044,0.14398,3.4732,32
27.16,29.32,31.48,33.641,35.801,37.961,40.121,42.281,0.14503,0.14576,0.14698,0.14867,0.15081,0.15339,0.15638,0.15976,3.5259,32
27.164,29.329,31.493,33.657,35.821,37.986,40.15,42.314,0.15297,0.15363,0.15474,0.15627,0.15821,0.16056,0.16329,0.16638,3.4196,32
27.164,29.328,31.492,33.656,35.82,37.984,40.148,42.312,0.14171,0.14225,0.14314,0.14439,0.14597,0.14788,0.15011,0.15265,2.492,32
27.169,29.338,31.508,33.677,35.846,38.015,40.184,42.354,0.17172,0.1723,0.17327,0.17461,0.17632,0.17839,0.1808,0.18355,3.5635,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.639,26.278,26.916,27.555,28.194,28.833,29.471,30.11,8.4668,8.5711,8.742,8.9759,9.268,9.6129,10.005,10.439,3.8131,32
25.419,25.837,26.256,26.675,27.094,27.512,27.931,28.35,7.7263,7.7928,7.9025,8.0536,8.2438,8.4704,8.7306,9.0216,7.2142,32
25.005,25.01,25.014,25.019,25.024,25.029,25.034,25.038,10.391,10.452,10.551,10.69,10.865,11.075,11.318,11.593,11.418,32
25.303,25.606,25.908,26.211,26.514,26.817,27.12,27.423,14.235,14.292,14.385,14.515,14.681,14.881,15.114,15.378,16.418,32
25.515,26.03,26.546,27.061,27.576,28.091,28.607,29.122,15.549,15.602,15.689,15.811,15.966,16.154,16.373,16.622,21.017,32
25.707,26.414,27.121,27.828,28.535,29.243,29.95,30.657,16.061,16.111,16.194,16.309,16.456,16.634,16.841,17.078,25.496,32
25.89,26.781,27.671,28.562,29.452,30.343,31.233,32.123,16.264,16.311,16.39,16.499,16.639,16.808,17.006,17.232,29.934,32
26.068,27.137,28.205,29.274,30.342,31.41,32.479,33.547,16.198,16.243,16.318,16.423,16.556,16.718,16.907,17.122,34.296,32
26.241,27.483,28.724,29.966,31.207,32.449,33.69,34.932,15.903,15.947,16.018,16.118,16.245,16.4,16.58,16.786,38.551,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.767,26.535,27.302,28.069,28.837,29.604,30.371,31.139,0.00048071,0.00050768,0.00054971,0.00060365,0.00066662,0.00073631,0.00081098,0.00088938,2.8228,32
25.191,25.381,25.572,25.762,25.953,26.143,26.334,26.525,3.7272,3.8264,3.9862,4.1997,4.4592,4.7572,5.0869,5.4426,5.7879,32
24.752,24.505,24.257,24.01,23.762,23.515,23.267,23.02,8.8899,8.9923,9.1605,9.3909,9.6791,10.02,10.409,10.84,10.882,32
24.65,24.301,23.951,23.602,23.252,22.903,22.553,22.204,12.213,12.303,12.451,12.656,12.914,13.222,13.578,13.977,15.759,32
24.688,24.376,24.065,23.753,23.441,23.129,22.817,22.505,11.873,11.964,12.113,12.319,12.578,12.888,13.246,13.646,19.527,32
24.795,24.59,24.385,24.181,23.976,23.771,23.566,23.361,11.162,11.243,11.377,11.563,11.797,12.077,12.4,12.762,23.048,32
24.588,24.176,23.764,23.352,22.94,22.528,22.116,21.704,10.605,10.674,10.788,10.946,11.146,11.386,11.663,11.975,26.632,32
25.181,25.362,25.543,25.724,25.905,26.086,26.267,26.448,12.937,12.995,13.091,13.225,13.395,13.6,13.838,14.108,31.932,32
25.529,26.058,26.587,27.116,27.645,28.174,28.703,29.233,13.647,13.698,13.782,13.9,14.049,14.23,14.441,14.68,36.536,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
24.553,24.107,23.66,23.214,22.767,22.32,21.874,21.427,14.052,14.137,14.278,14.473,14.719,15.016,15.358,15.744,4.1709,32
23.877,22.754,21.631,20.507,19.384,18.261,17.138,16.015,11.659,11.729,11.845,12.005,12.207,12.45,12.732,13.049,8.4527,32
23.014,21.029,19.043,17.058,15.072,13.087,11.101,9.1155,4.3358,4.3742,4.4374,4.5245,4.634,4.7644,4.9141,5.0813,11.273,32
23.303,21.606,19.909,18.211,16.514,14.817,13.12,11.423,5.6556,5.6965,5.764,5.8571,5.9748,6.1155,6.2777,6.4598,14.547,32
23.617,22.235,20.852,19.469,18.087,16.704,15.321,13.939,7.3385,7.3833,7.4575,7.5601,7.69,7.8459,8.0262,8.2293,18.373,32
23.91,22.82,21.73,20.641,19.551,18.461,17.371,16.281,9.195,9.2434,9.3235,9.4345,9.5753,9.7447,9.9411,10.163,22.664,32
24.154,23.307,22.461,21.614,20.768,19.922,19.075,18.229,11.202,11.253,11.337,11.455,11.603,11.783,11.991,12.227,27.366,32
24.315,23.63,22.945,22.26,21.574,20.889,20.204,19.519,12.36,12.412,12.497,12.615,12.765,12.947,13.158,13.397,31.832,32
24.448,23.896,23.344,22.792,22.24,21.688,21.136,20.584,14.082,14.133,14.219,14.339,14.491,14.675,14.889,15.133,36.819,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.063,25.126,25.189,25.252,25.315,25.378,25.441,25.504,15.869,15.963,16.118,16.333,16.605,16.932,17.31,17.736,4.1833,32
25.204,25.407,25.611,25.814,26.018,26.221,26.425,26.629,13.35,13.459,13.639,13.886,14.198,14.569,14.997,15.476,8.0364,32
25.4,25.799,26.199,26.599,26.999,27.398,27.798,28.198,11.163,11.283,11.48,11.751,12.09,12.492,12.951,13.461,11.566,32
25.45,25.901,26.351,26.801,27.252,27.702,28.152,28.603,9.7692,9.8851,10.075,10.336,10.661,11.046,11.484,11.97,14.895,32
25.245,25.49,25.735,25.981,26.226,26.471,26.716,26.961,9.3954,9.493,9.6535,9.8737,10.15,10.478,10.852,11.269,18.359,32
24.882,24.763,24.645,24.526,24.408,24.289,24.171,24.052,9.5926,9.6707,9.7995,9.977,10.201,10.467,10.774,11.118,22.166,32
24.473,23.945,23.418,22.89,22.363,21.836,21.308,20.781,9.9789,10.041,10.144,10.286,10.466,10.681,10.931,11.212,26.308,32
24.077,23.155,22.232,21.309,20.386,19.464,18.541,17.618,10.284,10.334,10.416,10.53,10.674,10.849,11.051,11.28,30.618,32
24.199,23.398,22.596,21.795,20.994,20.193,19.391,18.59,11.455,11.506,11.59,11.708,11.856,12.036,12.244,12.481,35.19,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.045,25.089,25.134,25.178,25.223,25.268,25.312,25.357,22.422,22.489,22.599,22.753,22.95,23.188,23.466,23.783,4.529,32
25.089,25.178,25.266,25.355,25.444,25.533,25.622,25.711,22.514,22.58,22.69,22.843,23.039,23.275,23.552,23.867,9.0681,32
25.133,25.266,25.399,25.532,25.665,25.798,25.93,26.063,22.568,22.634,22.744,22.896,23.091,23.327,23.602,23.916,13.612,32
25.177,25.354,25.53,25.707,25.884,26.061,26.238,26.415,22.621,22.687,22.796,22.948,23.141,23.376,23.65,23.963,18.163,32
25.221,25.442,25.663,25.884,26.105,26.326,26.547,26.768,22.626,22.691,22.8,22.952,23.145,23.379,23.653,23.965,22.71,32
25.266,25.533,25.799,26.065,26.331,26.598,26.864,27.13,22.532,22.597,22.706,22.858,23.052,23.287,23.561,23.873,27.233,32
25.31,25.621,25.931,26.241,26.552,26.862,27.172,27.483,22.556,22.621,22.73,22.881,23.074,23.308,23.582,23.894,31.786,32
25.355,25.71,26.065,26.419,26.774,27.129,27.484,27.839,22.543,22.609,22.717,22.869,23.062,23.295,23.568,23.879,36.33,32
25.401,25.803,26.204,26.605,27.006,27.408,27.809,28.21,22.425,22.491,22.599,22.751,22.945,23.179,23.453,23.765,40.834,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
24.955,24.91,24.865,24.82,24.775,24.73,24.686,24.641,22.262,22.329,22.44,22.595,22.793,23.033,23.313,23.631,4.5218,32
25.261,25.523,25.784,26.045,26.306,26.568,26.829,27.09,20.432,20.495,20.6,20.747,20.933,21.159,21.424,21.724,8.9091,32
25.593,26.186,26.779,27.372,27.966,28.559,29.152,29.745,18.137,18.197,18.295,18.432,18.606,18.817,19.063,19.344,13.148,32
25.943,26.886,27.829,28.772,29.715,30.657,31.6,32.543,15.747,15.8,15.889,16.012,16.169,16.359,16.581,16.833,17.212,32
26.273,27.545,28.818,30.09,31.363,32.635,33.908,35.18,13.59,13.636,13.713,13.819,13.954,14.118,14.309,14.526,21.091,32
26.531,28.062,29.593,31.124,32.656,34.187,35.718,37.249,11.858,11.896,11.96,12.048,12.161,12.298,12.458,12.64,24.764,32
26.718,28.436,30.154,31.872,33.59,35.308,37.026,38.744,10.593,10.625,10.678,10.751,10.845,10.959,11.092,11.243,28.28,32
26.847,28.695,30.542,32.39,34.237,36.085,37.932,39.78,9.6544,9.681,9.7252,9.7868,9.8654,9.9606,10.072,10.199,31.657,32
26.945,28.89,30.835,32.78,34.726,36.671,38.616,40.561,8.9434,8.966,9.0034,9.0556,9.1223,9.2032,9.2978,9.4058,34.943,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.475,25.95,26.425,26.9,27.375,27.849,28.324,28.799,14.85,14.928,15.058,15.237,15.464,15.737,16.053,16.411,4.243,32
27.128,29.256,31.384,33.513,35.641,37.769,39.897,42.025,0.26929,0.27241,0.27751,0.28451,0.29326,0.30362,0.31542,0.32851,5.7131,32
27.144,29.289,31.433,33.578,35.722,37.867,40.011,42.156,0.29335,0.29562,0.29937,0.30454,0.31105,0.31884,0.3278,0.33784,6.2274,32
27.171,29.341,31.512,33.682,35.853,38.024,40.194,42.365,0.49883,0.50173,0.50652,0.51316,0.52158,0.53168,0.54338,0.55657,8.2127,32
27.174,29.349,31.523,33.697,35.872,38.046,40.221,42.395,0.43493,0.43695,0.44031,0.44497,0.45088,0.45801,0.46629,0.47567,8.5068,32
27.157,29.315,31.472,33.63,35.787,37.945,40.102,42.26,0.50901,0.51099,0.51427,0.51883,0.52463,0.53163,0.53979,0.54906,9.9341,32
27.161,29.322,31.482,33.643,35.804,37.965,40.125,42.286,0.46854,0.47011,0.4727,0.4763,0.4809,0.48645,0.49294,0.50032,10.264,32
27.152,29.304,31.456,33.608,35.76,37.912,40.064,42.216,0.47789,0.47928,0.4816,0.48482,0.48893,0.49391,0.49973,0.50637,11.111,32
27.148,29.297,31.445,33.594,35.742,37.891,40.039,42.188,0.45579,0.45697,0.45894,0.46168,0.46517,0.46941,0.47436,0.48002,11.464,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.494,25.988,26.481,26.975,27.469,27.963,28.457,28.95,14.114,14.195,14.327,14.511,14.743,15.023,15.346,15.712,4.204,32
27.086,29.172,31.259,33.345,35.431,37.517,39.603,41.69,0.82741,0.83693,0.85255,0.87396,0.90073,0.93241,0.96851,1.0086,6.752,32
27.108,29.216,31.325,33.433,35.541,37.649,39.757,41.866,0.61685,0.62161,0.62948,0.64033,0.65401,0.67035,0.68917,0.71026,7.6383,32
27.116,29.233,31.349,33.466,35.582,37.699,39.815,41.932,0.51283,0.51581,0.52074,0.52757,0.53622,0.5466,0.55863,0.57219,8.1799,32
27.109,29.218,31.327,33.436,35.545,37.654,39.762,41.871,0.46807,0.47025,0.47387,0.47888,0.48524,0.49291,0.50183,0.51192,8.6605,32
27.108,29.217,31.325,33.433,35.542,37.65,39.759,41.867,0.41899,0.42062,0.42332,0.42707,0.43184,0.43761,0.44433,0.45196,8.8559,32
27.116,29.232,31.349,33.465,35.581,37.697,39.813,41.93,0.41567,0.41705,0.41935,0.42255,0.42663,0.43156,0.43731,0.44386,9.4506,32
27.117,29.234,31.351,33.468,35.585,37.702,39.818,41.935,0.38494,0.38607,0.38793,0.39053,0.39384,0.39785,0.40254,0.40789,9.5222,32
27.123,29.246,31.369,33.492,35.614,37.737,39.86,41.983,0.38692,0.38792,0.38959,0.39191,0.39488,0.39847,0.40268,0.40749,10.099,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.368,25.736,26.104,26.472,26.84,27.208,27.576,27.944,20.235,20.299,20.405,20.553,20.741,20.969,21.235,21.538,4.498,32
25.941,26.881,27.822,28.762,29.703,30.643,31.584,32.524,15.477,15.54,15.644,15.789,15.974,16.197,16.456,16.75,8.7962,32
27.707,30.414,33.121,35.828,38.535,41.242,43.949,46.656,0.23976,0.24161,0.24468,0.2489,0.25422,0.26059,0.26791,0.27612,7.1882,32
27.721,30.441,33.162,35.882,38.603,41.323,44.044,46.764,0.29437,0.29608,0.29891,0.30283,0.3078,0.31376,0.32067,0.32846,7.9747,32
27.74,30.48,33.221,35.961,38.701,41.441,44.181,46.921,0.44577,0.44784,0.45128,0.45606,0.46212,0.46942,0.47791,0.48753,9.9957,32
27.752,30.504,33.256,36.008,38.76,41.512,44.264,47.017,0.46001,0.4618,0.46476,0.46888,0.47413,0.48046,0.48783,0.4962,10.887,32
27.757,30.514,33.271,36.028,38.785,41.542,44.299,47.056,0.43052,0.43196,0.43434,0.43765,0.44188,0.44698,0.45294,0.45973,11.223,32
27.75,30.501,33.251,36.002,38.752,41.503,44.253,47.004,0.42597,0.42721,0.42928,0.43215,0.43582,0.44026,0.44545,0.45136,11.773,32
27.752,30.505,33.257,36.009,38.761,41.514,44.266,47.018,0.40029,0.40133,0.40306,0.40546,0.40853,0.41225,0.4166,0.42157,11.905,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
24.606,24.212,23.818,23.424,23.029,22.635,22.241,21.847,18.678,18.746,18.858,19.015,19.213,19.454,19.734,20.052,4.4295,32
24.704,24.409,24.113,23.818,23.522,23.227,22.931,22.635,20.36,20.423,20.529,20.676,20.863,21.09,21.354,21.656,8.9117,32
24.75,24.501,24.251,24.001,23.751,23.502,23.252,23.002,20.504,20.567,20.672,20.818,21.004,21.229,21.492,21.791,13.352,32
24.792,24.585,24.377,24.17,23.962,23.755,23.547,23.34,20.524,20.587,20.692,20.837,21.022,21.247,21.509,21.808,17.785,32
24.838,24.676,24.514,24.352,24.191,24.029,23.867,23.705,20.692,20.754,20.858,21.002,21.186,21.409,21.67,21.966,22.257,32
24.881,24.762,24.644,24.525,24.406,24.287,24.168,24.049,20.767,20.83,20.933,21.076,21.26,21.481,21.741,22.036,26.72,32
24.923,24.845,24.768,24.69,24.613,24.536,24.458,24.381,20.774,20.836,20.939,21.082,21.265,21.486,21.745,22.04,31.17,32
24.964,24.927,24.891,24.855,24.819,24.782,24.746,24.71,20.765,20.827,20.93,21.073,21.255,21.476,21.734,22.029,35.616,32
25.004,25.008,25.012,25.017,25.021,25.025,25.029,25.033,20.719,20.781,20.884,21.027,21.209,21.43,21.688,21.982,40.047,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
25.062,25.125,25.187,25.249,25.312,25.374,25.436,25.499,16.046,16.139,16.293,16.505,16.775,17.098,17.473,17.895,4.1944,32
25.127,25.254,25.381,25.509,25.636,25.763,25.89,26.017,15.73,15.824,15.98,16.196,16.469,16.797,17.177,17.604,8.353,32
25.19,25.381,25.571,25.761,25.951,26.142,26.332,26.522,15.765,15.858,16.013,16.228,16.5,16.826,17.203,17.629,12.542,32
25.253,25.507,25.76,26.014,26.267,26.521,26.774,27.027,15.781,15.875,16.029,16.242,16.513,16.837,17.213,17.637,16.735,32
25.317,25.633,25.95,26.266,26.583,26.9,27.216,27.533,15.79,15.883,16.037,16.249,16.518,16.842,17.216,17.638,20.932,32
25.38,25.761,26.141,26.522,26.902,27.283,27.663,28.044,15.768,15.861,16.014,16.226,16.495,16.817,17.19,17.611,25.122,32
25.444,25.888,26.331,26.775,27.219,27.663,28.107,28.551,15.769,15.861,16.014,16.225,16.493,16.814,17.186,17.605,29.324,32
25.508,26.016,26.524,27.032,27.54,28.048,28.556,29.064,15.746,15.838,15.99,16.201,16.468,16.788,17.159,17.577,33.518,32
25.573,26.145,26.718,27.291,27.863,28.436,29.008,29.581,15.714,15.806,15.958,16.168,16.434,16.754,17.124,17.541,37.708,32
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,32
