id,trial,round,arm,out
2,1,10,8,28.7719804359
2,2,10,7,40.3353544926
2,3,10,6,45.9536330739
2,4,10,6,45.2362888038
2,5,10,6,46.1519453694
2,6,10,6,45.7593323059
2,7,10,6,45.0862740409
2,8,10,6,45.2821695357
2,9,10,6,45.8363561648
2,10,10,6,45.5158617088
2,1,11,2,11.8803836525
2,2,11,8,46.8962530885
2,3,11,8,46.7600338182
2,4,11,8,47.0133484228
2,5,11,8,46.9204493987
2,6,11,8,47.0403590479
2,7,11,8,47.0987737528
2,8,11,8,47.4457597777
2,9,11,8,46.9743575973
2,10,11,8,47.4888290154
2,1,12,6,17.0266522222
2,2,12,5,21.2274072135
2,3,12,4,26.6950192537
2,4,12,3,31.8936643737
2,5,12,2,37.8840526671
2,6,12,1,42.9670449996
2,7,12,1,42.9005069898
2,8,12,1,42.7791458127
2,9,12,1,42.9312849007
2,10,12,1,42.9563256984
2,1,13,1,45.6212645396
2,2,13,1,44.9814412351
2,3,13,1,45.1038262748
2,4,13,1,45.3830458005
2,5,13,1,45.3158943076
2,6,13,1,45.5010883404
2,7,13,1,45.700596558
2,8,13,1,45.499560549
2,9,13,1,45.23986426
2,10,13,1,44.6625283262
2,1,14,1,2.9022584762
2,2,14,8,43.5527674254
2,3,14,7,37.9141978518
2,4,14,8,43.5951410369
2,5,14,8,43.5546295174
2,6,14,8,43.3323963034
2,7,14,8,43.368941661
2,8,14,8,43.3330801269
2,9,14,8,43.3314174332
2,10,14,8,43.8896202045
2,1,15,5,22.2246292324
2,2,15,4,27.6603430703
2,3,15,6,16.1467675153
2,4,15,7,10.6588751045
2,5,15,3,32.8333789807
2,6,15,2,39.0609735492
2,7,15,1,45.0353253562
2,8,15,1,45.0885349675
2,9,15,1,45.2612944156
2,10,15,1,44.8712010432
2,1,16,1,9.6014030903
2,2,16,8,46.4746647399
2,3,16,8,46.7565967966
2,4,16,8,46.3789854902
2,5,16,8,46.3806718067
2,6,16,8,46.417433112
2,7,16,8,47.068786371
2,8,16,8,46.6592567372
2,9,16,8,46.2042687518
2,10,16,8,46.4768067371
2,1,17,5,26.7317808286
2,2,17,6,30.8156684438
2,3,17,7,35.2229429474
2,4,17,1,8.0919983311
2,5,17,2,12.7028097517
2,6,17,3,18.0900275607
2,7,17,8,40.1604597628
2,8,17,8,40.3813208439
2,9,17,8,39.7106117546
2,10,17,8,40.1753690943
2,1,18,5,28.8929326528
2,2,18,4,23.8501426864
2,3,18,8,42.2540752924
2,4,18,8,41.8176538382
2,5,18,8,42.0793977492
2,6,18,8,41.9468117922
2,7,18,8,42.5404360104
2,8,18,8,42.6580010655
2,9,18,8,42.4358556601
2,10,18,8,42.5039835384
2,1,19,8,4.3467175473
2,2,19,1,44.4399410389
2,3,19,1,44.422405538
2,4,19,1,44.2889470064
2,5,19,1,44.2555985103
2,6,19,1,44.74445982
2,7,19,1,45.0319734092
2,8,19,1,44.6739568401
2,9,19,1,44.9727978807
2,10,19,1,44.4209867436
2,1,20,1,40.391364842
2,2,20,8,3.2258536985
2,3,20,1,40.1876860435
2,4,20,1,39.9467476344
2,5,20,1,40.2624377853
2,6,20,1,39.7136654715
2,7,20,1,40.2368294195
2,8,20,1,40.504114765
2,9,20,1,39.611996825
2,10,20,1,39.7337325534
2,1,21,5,40.9732518609
2,2,21,5,40.7567702056
2,3,21,5,40.4419400336
2,4,21,5,40.6140771818
2,5,21,5,40.2745686145
2,6,21,5,40.7341133801
2,7,21,5,40.4984033738
2,8,21,5,41.1371926699
2,9,21,5,40.602995225
2,10,21,5,40.2691432262
2,1,22,4,28.9429562509
2,2,22,3,7.6848094793
2,3,22,2,18.0520077974
2,4,22,8,24.0176412879
2,5,22,7,34.1627635181
2,6,22,1,39.3884434812
2,7,22,1,38.9013830846
2,8,22,1,39.1923212457
2,9,22,1,39.1636721097
2,10,22,1,39.0078357138
2,1,23,1,36.3989847186
2,2,23,8,30.7083683163
2,3,23,1,36.4035740203
2,4,23,1,35.8441652779
2,5,23,1,36.6248804028
2,6,23,1,36.2449081164
2,7,23,1,36.3203248927
2,8,23,1,36.2393355255
2,9,23,1,37.0543594439
2,10,23,1,36.0988619278
2,1,24,1,8.2350408578
2,2,24,8,14.0315959698
2,3,24,7,32.5068227998
2,4,24,7,32.2949370464
2,5,24,6,38.3152364792
2,6,24,6,38.3859066372
2,7,24,6,38.3784443132
2,8,24,6,38.3638711057
2,9,24,6,38.4161828942
2,10,24,6,38.4667330735
2,1,25,5,40.202138962
2,2,25,5,40.3290538826
2,3,25,5,39.3174416056
2,4,25,5,39.4806190706
2,5,25,5,39.8887557947
2,6,25,5,39.809996682
2,7,25,5,39.3813986019
2,8,25,5,39.5124034938
2,9,25,5,39.7394100167
2,10,25,5,39.8331512427
2,1,26,4,19.1465367106
2,2,26,5,41.0562128618
2,3,26,5,41.5305212188
2,4,26,5,41.9957929593
2,5,26,5,41.8052513099
2,6,26,5,41.7338312404
2,7,26,5,41.3246059714
2,8,26,5,41.8127317989
2,9,26,5,42.0455807157
2,10,26,5,41.3007005528
2,1,27,7,34.1546455877
2,2,27,1,39.2791685942
2,3,27,1,39.5899439078
2,4,27,1,39.4949315555
2,5,27,1,39.4346860864
2,6,27,1,39.689208306
2,7,27,1,39.0548899257
2,8,27,1,39.8556207087
2,9,27,1,39.9196359449
2,10,27,1,39.2539162357
2,1,28,2,4.5355901182
2,2,28,3,27.1237789937
2,3,28,7,10.0183095774
2,4,28,6,16.018334129
2,5,28,5,38.7444148543
2,6,28,5,38.0002568715
2,7,28,5,38.1436145362
2,8,28,5,38.1116069584
2,9,28,5,37.9183608272
2,10,28,5,37.8553158382
2,1,29,8,25.9885748263
2,2,29,1,21.2156187073
2,3,29,7,31.0030372635
2,4,29,6,41.144669005
2,5,29,6,40.6942110385
2,6,29,6,41.2169739562
